"Disabled for security reasons, please reload.","Aus Sicherheitsgründen deaktiviert, bitte neu laden."
"Enable inline translation for this session","Inline-Übersetzung für diese Session aktivieren"
"Deactivate inline translation","Inline-Übersetzung deaktivieren"
"Enabled for current session","Aktiviert für aktuelle Session"
